temp,resp
7.5,0.81
8.4,1.17
9.1,0.68
9,1.08
10,1.92
10.7,1.21
11.8,1.31
11.9,1.45
12.8,0.99
12.9,1.45
13.1,1.19
13.7,1.28
14.5,1.59
15.2,1.23
15.8,1.11
15.8,1.52
15.8,1.72
15.6,2.09
16.1,1.8
16.3,1.52
16.8,1.57
17.2,1.52
17.5,1.24
17.6,1.49
17.8,1.69
18.4,1.47
18.8,1.91
19,1.79
19.4,1.99
20.4,1.56
20.6,1.75
21,1.43
21.8,1.44
21.7,1.93
22.1,1.75
18.9,3.05
19.3,3.24
19.5,2.97
19.8,2.81
21.5,3.6
22.7,2.75
23.3,2.57
24.1,2.61
24.6,2.41
27.5,2.51
27.4,2.8
28.1,2.84
26.6,2.88
24.7,2.92
28.3,3.09
25.3,3.12
25,3.2
24.6,3.17
26.4,3.28
26.8,3.37
26,3.4
26,3.43
24.8,3.51
25.3,3.6
27.5,3.57
26,3.67
27.8,3.73
25.7,3.79
24.1,3.92
25.2,4.12
25.8,4.12
26,4.2
27.2,4.16
25.9,4.32
26.4,4.35
27,4.41
23.1,4.56
24.7,4.64
23.8,4.79
27.7,4.96
25.2,5.28
